,shot,time,mods,nl_04,bt,ip,p_rf,ssep,zave,q95,numin,xmin,Lne,LTe,a,R
55,1150617006.0,1.1665,u,8.75023019319e+19,-5.44431447983,-1.19010025,-0.000263622030616,40.0,3.30079910748,3.20891618729,0.66836937095,0.462079779375,-9.20220257931,0.596232480519,0.218989634038,0.679223300865
56,1150616011.0,1.4181,u,7.22529376718e+19,-5.44138717651,-1.18821325,8.81459563971e-05,1.66161227226,3.11892465961,3.20732998848,0.449106952441,0.432630400473,-4.08288222988,0.639485596142,0.219750745887,0.678825637865
57,1150616009.0,1.348,u,7.4369383206e+19,-5.44626665115,-1.1904145,0.0,1.61070168018,3.29214311028,3.11764383316,0.471163603362,0.477980798139,18.1549312405,0.620957044662,0.220426202835,0.678822384338
58,1150616004.0,1.0222,u,8.47624157125e+19,-5.45212173462,-1.1982595,4.07539555454e-05,1.13432168961,3.11048769343,3.41005945206,0.561212300028,0.476019108708,1.77910682364,0.57415621822,0.218375281477,0.678970702942
59,1140722001.0,1.348,d,1.46134665481e+20,-5.46383190155,-0.801845,1.72544789314,-1.28919506073,3.09493631355,5.16004943848,1.49272315499,0.336719347908,-0.701149840973,0.48789742231,0.22213541553,0.685043766554
60,1140605018.0,0.6112,dr,5.01288857551e+19,5.42186927795,0.984161125,1.01709628105,-1.16211390495,4.23798284741,3.83999180794,0.192276533209,0.43911738158,0.456947385205,0.625209084739,0.220857829286,0.681173814701
61,1140415029.0,1.2119,u,7.43911623323e+19,5.4374833107,0.99028275,3.49633082806e-05,1.29369211197,3.67379307749,3.30600261688,0.288894928907,0.428343801874,2.40033127014,0.647271199806,0.222177185362,0.684479521692
62,1140415028.0,0.8573,d,1.4194851685e+20,5.44529008865,0.995643125,3.48046305589e-05,1.33698570728,2.44991172717,3.44771504402,0.81617871634,0.410031783603,1.68965716055,0.704477858225,0.221101085586,0.686480733886
63,1140415028.0,1.0882,u,1.32925774899e+20,5.44529008865,0.9868730625,3.47939640051e-05,1.39407718182,2.36377502156,3.4132194519,0.81390996202,0.421007374288,1.60720055554,0.684918715714,0.221141616203,0.68501745487
64,1140402020.0,1.4285,u,4.79840024521e+19,5.42284536362,0.786412875,3.07142145175e-05,-1.06804966927,5.58870361345,4.56869459152,0.437767181808,0.389912806095,-1.72206109701,0.5595398196,0.225324848796,0.686686677616
65,1120926034.0,0.7902,d,6.95246754893e+19,5.44626665115,1.098040625,8.30287899589e-06,-2.36263942719,2.36192409939,3.15279865265,0.204968109564,0.471884150318,-2.98153715116,0.620167578628,0.217440192291,0.678022883942
66,1120926033.0,1.1665,u,5.51232721887e+19,5.44529008865,1.089271625,8.55534563016e-06,-2.32262659073,2.72958298435,3.16417431831,0.138480729105,0.458106024356,-0.820776670906,0.583598735354,0.21772146989,0.677891210392
67,1120913012.0,0.5678,d,5.69038696972e+19,5.37112569809,0.902166875,0.000152779379277,-1.75503635406,3.17393962055,4.07572460175,0.2131117768,0.469687603265,-0.16514609004,0.53890430874,0.2190240346,0.681484050187
68,1120720026.0,0.6024,u,6.98989272572e+19,-5.45700073242,-1.010066125,0.00015003142471,1.95458364487,2.87440059483,3.66807055473,0.276754329364,0.456917653812,-0.377025800288,0.66125542685,0.217263726463,0.676920728522
69,1120720026.0,0.823,ur,7.20288352118e+19,-5.45309782028,-1.00724475,1.033452034,1.9159283638,2.98022463818,3.69198846817,0.226516547802,0.42695714617,0.80891253627,0.595031125056,0.217269905918,0.678238701889
70,1120720026.0,1.1254,di,6.4995263727e+19,-5.44870615005,-1.0031605625,1.16914725304,1.72439360619,3.16081273006,3.76905107498,0.171710659932,0.421034767783,-0.963455753201,0.560747143781,0.217245063837,0.677762658992
71,1120720026.0,1.2073,up,6.22198500878e+19,-5.44821834564,-1.00097475,1.19988274574,1.7555334568,3.34917786024,3.74793982506,0.147025702433,0.409738191019,-0.112603743909,0.523751182171,0.216825281794,0.678191462933
72,1120720026.0,1.3145,di,6.74297056162e+19,-5.44724225998,-0.99909075,1.24931848049,40.0,3.06096616148,3.74749016762,0.179009026536,0.41074816216,-8.96871762217,0.52025758256,0.217630671883,0.678148109781
73,1120720026.0,1.3838,up,6.25347678102e+19,-5.44529008865,-0.99939775,1.27313220501,1.71194684505,3.26189865501,3.73345470428,0.147639657986,0.418478944441,0.113632123847,0.507137660338,0.216503989298,0.677649646917
74,1120720025.0,0.6087,u,7.06064102131e+19,-5.45700073242,-1.01037925,0.000150333944475,1.91242587566,2.93556262098,3.66764640808,0.284812935215,0.453816470607,1.07640071229,0.610917620803,0.217556000614,0.677074450184
75,1120720025.0,0.7474,di,5.00627699219e+19,-5.45504903793,-1.0038011875,0.00015036543482,1.89844202995,4.13723211881,3.65640258789,0.216986271496,0.439518991406,-1.68225140927,0.662424836836,0.217952546211,0.676860392115
76,1120720025.0,0.7883,upr,4.90251695948e+19,-5.45407342911,-1.0031708125,0.000150442851009,1.85483431816,4.1165230848,3.68306493759,0.178218228613,0.401224128646,-0.441298924534,0.697317249761,0.218205136456,0.676624259764
77,1120720024.0,0.5898,u,7.22201898174e+19,-5.4560251236,-1.0097570625,0.000150082385517,1.93131434917,2.72200285272,3.66948771477,0.301913456061,0.453260847345,-0.3855328439,0.633928563411,0.217467474528,0.676810319215
78,1120720024.0,0.7442,di,4.9803971273e+19,-5.45553684235,-1.0063094375,0.000149942687131,1.9029083252,3.61515503987,3.68665313721,0.198365484854,0.44147574169,-0.235381680517,0.639603940506,0.217738096353,0.676901322189
79,1120720024.0,0.8041,upr,4.45316810764e+19,-5.45504903793,-1.006152875,0.561545372009,1.8678047657,3.94938261112,3.68787837029,0.158048245578,0.434276155906,2.6783878648,0.659117761059,0.217664960598,0.676408977161
80,1120720022.0,0.8072,ur,4.68650118763e+19,-5.56532096863,-1.007009625,0.836738049984,1.82130920887,4.10420174448,3.76171040535,0.155880187951,0.384523493839,-0.276497187289,0.750320900881,0.218231861099,0.677267911225
81,1120720022.0,1.0813,d,4.22215191855e+19,-5.56141805649,-1.0059075,0.845644712448,1.71503186226,4.4620264887,3.83002614975,0.12093656483,0.389347709797,-1.25901761471,0.626145731003,0.217731596942,0.677754790839
82,1120720022.0,1.2294,u,4.530608031e+19,-5.56141805649,-1.004026625,0.834268093109,1.64139699936,4.38384947192,3.80497169495,0.137941764267,0.422583999453,2.03885553408,0.598489665,0.218440525207,0.677720921581
