shot,reversals,low_confidence,ar_signal,tmax,nl_04,nl_04_r,bt,bt_r,ip,ip_r,p_rf,p_rf_r,p_rf_t,ssep,ssep_r,vel,vel_r,lbo,cryopump
1140328014,,,4398.52319336,1.5,8.21672736018E+019,3.30748365453E+019,5.4462666512,0.0146389008,0.9868586875,0.0375547063,0,0,0,-1.3010019064,0.4641417265,25.3915910721,21.2354388714,1,0.2788085938
1140328013,,,1316.86499023,1.3684998751,3.63321126946E+019,1.73679366897E+019,5.4491939545,0.0136623383,0.788031875,0.0422639375,0,0,0,-1.7301136255,39.1335021228,2.2141041756,10.7235690355,0,0.8232421875
1140327022,,,1841.73095703,1.5,5.1399186723E+019,2.27722634993E+019,5.4140625,0.0117096901,0.98618125,0.0350679156,0,0,0,-1.3056042194,38.9514869452,5.1423532963,9.4498481497,0,0.2080078125
1140327020,,dweak drift,2098.91088867,1.5,7.22944772211E+019,1.80049372119E+019,5.4130868912,0.0107340813,0.98679925,0.0297485,0,0,0,-1.2541452646,0.3359915614,20.7558412552,18.7405342579,0,0.2182617188
1140327018,,,1654.72747803,1.5,9.5540396036E+019,4.7228891951E+019,5.409183979,0.0126862526,0.984599125,0.0341182281,0,0,0,-1.2466489077,0.4039775133,28.5137605667,21.7684287071,0,0.458984375
1140327017,,,568.152648926,1.4684998989,4.26916395712E+019,2.36508984143E+019,5.4072322846,0.0097584724,0.78982875,0.0419568969,0,0,0,-1.6948869228,39.3247684479,4.8072538376,14.1802728176,0,1.2880859375
1140327015,,,1856.10992432,1.5,7.24754414418E+019,1.62374914018E+019,5.4101595879,0.0117106438,0.7988955313,0.015669375,0,0,0,-1.5642889738,0.6204853654,26.0576162338,10.8363400459,0,0.1606445313
1140327014,,,1628.88220215,1.5,1.04220261883E+020,4.10897751544E+019,5.4179663658,0.0126862526,0.9777345625,0.0879808938,0,0,0,-1.2719017267,2.9042443615,25.2829790115,9.505350399,0,3.9794921875
1140327012,,,1716.27349854,1.5,9.8477217982E+019,2.42950503801E+019,5.4462666512,0.0126867294,0.9815496875,0.0422824781,0,0,0,-1.2581785917,39.3830584288,-548.91494751,12.0509643555,0,0.3618164063
1140327011,,,984.325744629,1.5,1.00850456656E+020,1.26652366172E+019,5.4579763413,0.0117101669,0.9840753125,0.0266192875,0,0,0,-1.2372890711,0.3651404381,-583.4871521,15.5942810059,0,0.3676757813
1140327009,,,171.692321777,1.448499918,1.04431992638E+020,1.72162726946E+019,5.4511451721,0.0117106438,0.976856625,0.118989875,0,0,0,-1.3216950297,39.9722575268,576.859680176,52.2747650146,0,14.4482421875
1140327008,,,67.2848052979,1.5,9.78205104731E+019,3.21739862178E+019,5.4550490379,0.0126862526,0.985329875,0.0259805625,0,0,0,-1.3421647549,38.9681823254,571.048278809,80.8498077393,0,0.240234375
1120926034,0.7902d,,880.40222168,1.5,7.23813276445E+019,1.27523841287E+019,5.4452900887,0.0107340813,1.088331125,0.0231602313,0,0,0,-2.33857131,0.4400537014,-4.6210041046,869.909317207,9,0
1120926033,1.1665u,,850.374603271,1.3284999132,5.34810240293E+019,1.47611793382E+019,5.44724226,0.0107350349,1.09021,0.025972375,0,0,0,-2.3307106495,0.194084084,-15.2581834793,884.704118538,8,0
1120926028,,,912.255371094,1.5,6.46728011558E+019,2.44986865306E+019,5.4433383942,0.0097589493,1.088642125,0.0216131,0,0,0,-2.2813618183,0.3630244732,-10.397854805,530.262079573,9,0
1120926027,,,837.3956604,1.5,8.44463940805E+019,1.72024716246E+019,5.4462666512,0.0107340813,1.087696625,0.0319366,0,0,0,-2.3389544487,0.5359630585,26.3385267258,16.5758493423,9,0
1120926026,,,327.95501709,1.5,7.82643371767E+019,6.31152527751E+018,5.44724226,0.0107350349,0.794919,0.01816225,0,0,0,-2.134693861,0.4509772062,41.2591705322,471.775803471,9,0
1120926025,,,343.681945801,1.5,7.62712304588E+019,6.13305452921E+018,5.44724226,0.0136623383,0.7989969688,0.0153603125,0,0,0,-2.135130167,0.4992572665,39.2416591644,822.427654839,9,0
1120919018,,,1101.87225342,1.5,7.05707618471E+019,8.25715024547E+018,5.4071679115,0.0161361694,1.086183125,0.02993225,0,0,0,-2.3643500805,19.3945319057,3.9912499189,9.1674538761,11,0
1120919016,,,2691.30187988,1.5,6.89174130183E+019,8.66319988961E+018,5.3992958069,0.016623497,1.086200625,0.030233125,0,0,0,-2.368496418,0.594699502,5.8141891956,14.8414648056,9,0
1120919015,,,4362.83935547,1.5,5.05037378563E+019,8.17617627184E+018,5.4017410278,0.0176010132,1.085507375,0.03369125,0,0,0,-2.3662924767,0.5642023683,4.5610511303,7.22134929,9,0
1120919014,,,4490.60644531,1.5,4.98373920284E+019,6.12950662509E+018,5.4018874168,0.0161347389,1.0851975,0.032761625,0,0,0,-2.3824510574,38.1842266321,5.1732177734,6.6258576185,9,0
1120919013,,,4219.97973633,1.5,5.20741417269E+019,6.16035826166E+018,5.3974866867,0.0156464577,1.0851518125,0.0343141875,0,0,0,-2.4052217007,38.019138813,5.4373829365,10.0572779186,9,0
1120919012,,,3598.59155273,1.5,3.87042738472E+019,6.35740097081E+018,5.4039897919,0.0161352158,0.7965806875,0.0180268125,0,0,0,-2.1751060486,0.5668608546,9.7632350922,5.3186655045,9,0
1120919011,,,2755.16516113,1.5,4.04392372251E+019,6.30058150842E+018,5.4043312073,0.0176019669,0.797436,0.0178445,0,0,0,-2.1774504185,0.5118686557,11.7628965378,13.8020204559,9,0
1120919002,,,1227.55822754,1.5,4.62830403717E+019,1.11117190461E+019,5.4053587914,0.0161356926,0.8006915625,0.0170745,0,0,0,-2.1381554604,0.5465493202,17.3521976471,22.7876017332,9,0
1120919001,,,477.574829102,1.5,7.85227224093E+019,1.39489771356E+019,5.4031581879,0.0146679878,0.800039125,0.0206851781,0,0,0,-2.1537973881,0.5156325698,48.5187263489,14.8299453735,9,0
1120913037,,H-mode,282.739318848,1.5,8.82446086201E+019,5.21428561459E+019,5.0442128182,0.0146379471,1.09971175,0.04257925,3.0378696919,1.4756806016,0.7985999584,-2.2432851791,0.4422353506,804.773101807,2113.16321373,4,0
1120913036,,H-mode,285.965942383,1.5,8.13092103295E+019,2.70177268236E+019,5.0442128182,0.0146379471,1.0057444375,0.0385041875,3.0613467693,1.4685863137,0.7985999584,-2.1601312161,0.4173761606,3.6561636925,18639.473291,4,0
1120913035,,H-mode,259.546546936,1.5,7.38645930197E+019,2.70555856478E+019,4.8187890053,0.5797087431,1.0024029688,0.0414438125,3.0276172161,1.4531258583,0.7985999584,-2.1600217819,0.4672336578,788.629425049,924.93709259,4,0
1120913034,,H-mode,277.495513916,1.5,9.48916577873E+019,4.20461734691E+019,4.860751152,0.7074975967,1.0013485625,0.0408442875,3.3166251183,1.7119802892,0.798699975,-2.2023773193,0.472874999,1.6195193529,942.819181061,3,0
1120913033,,H-mode,155.614509583,1.5,8.79864652801E+019,3.73398258767E+019,4.6197142601,0.0146379471,0.8028885625,0.0269466875,3.2780504227,1.7166228175,0.7985999584,-2.1470849514,0.4065418839,811.403564453,1984.48047867,3,0
1120913032,,H-mode,105.155181885,1.5,8.30641144503E+019,2.11259214183E+019,4.6177625656,0.0136623383,0.801638,0.02502675,2.8952047825,1.4153685212,0.798600018,-2.1399364471,0.4462713003,820.266052246,10462.1686005,3,0
1120913031,,H-mode,220.7006073,1.5,8.50930300629E+019,3.05624379623E+019,4.6177625656,0.0117101669,0.9012142188,0.033807125,2.8469440937,1.3624432802,0.7985999584,-2.1600937843,0.4838990569,-12.4693455696,912.354460144,3,0
